county,waterbody.type,wbic,name,name.local,named,hydro.unit,basin.maj,basin.min,seg.no,landlock,lake.type,access,area,impound,size.code,dep.max,dep.avg,len.shore,len.shore.m,dist.ash,muskie,nor.pike,wae,lmb,smb,pan,trout,cat,sturg,merc.warn
Ashland,LP,1886700,TROUT LAKE,NA,TRUE,7050001,2,261,1,TRUE,SE,T,5,5,VS,28,NA,0.42,676,35,NA,NA,NA,NA,NA,NA,C,NA,NA,NA
Ashland,LP,2285650,UN LAKE,NA,FALSE,NA,2,261,100,FALSE,NA,NA,NA,0,VS,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2007800,UN LAKE,NA,FALSE,7050002,2,261,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2007900,UN LAKE,NA,FALSE,7050002,2,261,1,TRUE,NA,NA,NA,2,VS,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2008000,UN LAKE,NA,FALSE,7050002,2,261,1,TRUE,NA,NA,NA,3,VS,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2009500,UN LAKE,NA,FALSE,7050002,2,261,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2009600,UN LAKE,NA,FALSE,7050002,2,261,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2018800,UN LAKE,NA,FALSE,7050001,2,261,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2018900,UN LAKE,NA,FALSE,7050001,2,261,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2019000,UN LAKE,NA,FALSE,7050001,2,261,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2019100,UN LAKE,NA,FALSE,7050002,2,261,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2019200,UN LAKE,NA,FALSE,7050002,2,261,1,TRUE,NA,NA,NA,2,VS,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2021200,UN LAKE,NA,FALSE,7050001,2,261,1,TRUE,NA,NA,NA,0,VS,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2021300,UN LAKE,NA,FALSE,7050001,2,261,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2021400,UN LAKE,NA,FALSE,7050001,2,261,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2023500,UN LAKE,NA,FALSE,7050001,2,261,1,TRUE,NA,NA,NA,3,VS,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2023600,UN LAKE,NA,FALSE,7050001,2,261,1,TRUE,NA,NA,NA,2,VS,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2031700,UN LAKE,NA,FALSE,7050001,2,261,1,TRUE,NA,NA,NA,10,VS,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2031800,UN LAKE,NA,FALSE,7050001,2,261,1,TRUE,NA,NA,NA,2,VS,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2034700,UN LAKE,NA,FALSE,7050001,2,261,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2034800,UN LAKE,NA,FALSE,7050001,2,261,1,TRUE,NA,NA,NA,1,VS,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2034900,UN LAKE,NA,FALSE,7050001,2,261,1,TRUE,NA,NA,NA,3,VS,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,RF,2284600,UN LAKE,NA,FALSE,7050002,2,261,1,NA,NA,NA,NA,6,VS,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
